fiscal_year,auction_no,auction_date,instrument_type,tenor_label,security_type,offered_bdt_crore,accepted_bdt_crore,outflow_status,weighted_avg_yield_pct,resulting_isin
2025-26,44,2026-04-05,BILL,91D,T_BILL,3500.00,,,, 
2025-26,44,2026-04-05,BILL,182D,T_BILL,3000.00,,,,
2025-26,44,2026-04-05,BILL,364D,T_BILL,2500.00,,,,
2025-26,45,2026-04-12,BILL,91D,T_BILL,3500.00,,,,
2025-26,45,2026-04-12,BILL,182D,T_BILL,3000.00,,,,
2025-26,45,2026-04-12,BILL,364D,T_BILL,2500.00,,,,
2025-26,46,2026-04-19,BILL,91D,T_BILL,3500.00,,,,
2025-26,46,2026-04-19,BILL,182D,T_BILL,3000.00,,,,
2025-26,46,2026-04-19,BILL,364D,T_BILL,2500.00,,,,
2025-26,47,2026-04-26,BILL,91D,T_BILL,3500.00,,,,
2025-26,47,2026-04-26,BILL,182D,T_BILL,3000.00,,,,
2025-26,47,2026-04-26,BILL,364D,T_BILL,2500.00,,,,
2025-26,48,2026-05-03,BILL,91D,T_BILL,3500.00,,,,
2025-26,48,2026-05-03,BILL,182D,T_BILL,3000.00,,,,
2025-26,48,2026-05-03,BILL,364D,T_BILL,2500.00,,,,
2025-26,B01,2026-04-08,BOND,2Y,T_BOND,3500.00,,,,
2025-26,B01,2026-04-08,BOND,5Y,T_BOND,2500.00,,,,
2025-26,B01,2026-04-08,BOND,10Y,T_BOND,2000.00,,,,
2025-26,B01,2026-04-08,BOND,15Y,T_BOND,1500.00,,,,
2025-26,B02,2026-04-22,BOND,2Y,T_BOND,3500.00,,,,
2025-26,B02,2026-04-22,BOND,5Y,T_BOND,2500.00,,,,
2025-26,B02,2026-04-22,BOND,10Y,T_BOND,2000.00,,,,
2025-26,B02,2026-04-22,BOND,15Y,T_BOND,1500.00,,,,
2025-26,F01,2026-04-08,BOND,3Y_FRTB,FRTB,500.00,,,,
